O95848 P28331
P51693 Q03265
Q9HDC5 Q9H444
Q01484 Q15014
Q15459 Q9UII2
O95613 O43257
P62736 P16403
Q9Y5K8 Q05639
Q8WYH8 Q9H2U2
Q13948 Q9Y6M1
Q9Y490 Q58WW2
P51858 P15253
P55884 O95258
Q9UJY5 Q9P0M6
Q9Y5A9 Q8IXL6
Q9BZQ6 Q14592
Q9BUK0 Q96PY5
Q8VEM8 O75582
Q13435 O88307
O95070 Q96EB6
Q9NZZ3 O60293
Q9ERD7 P62310
P07910 P48201
P05165 Q9UGL1
Q9NYW8 P07996
O60231 P48449
Q92600 Q14571
Q8BVF7 Q13107
Q96SK3 Q9Y5M8
Q06730 Q52KR3
Q8IUR0 Q13614
O14672 Q7LBC6
Q14247 Q76KP1
Q15392 Q96QB1
P49454 P08113
Q9NQT8 P33260
P16615 Q9Y6D5
Q96M27 Q9NZM3
O60762 Q9ULU8
O60641 Q13023
Q9H2X8 Q8WXF8
Q96QC0 Q8C0C7
Q8TAC9 Q92522
Q9UH65 O75380
Q99714 P56211
O60762 Q9UNL4
O95373 P48553
Q15643 Q9ULM3
Q9Y5B9 Q5T1M5
P16401 P13798
O14709 Q9ULH1
Q13049 Q8NCW6
Q8IZ52 O75376
O60313 Q8N5M9
O43172 P24723
Q99689 O60313
O95696 Q9Y5K8
O00237 Q99836
Q15005 Q15172
O88935 P48962
O95881 Q16512
Q92597 O75746
O95848 Q7Z3B3
Q7L8L6 Q9Y6Q5
Q13554 Q9NT68
O95258 Q3KR37
P09874 O43166
Q63ZY3 P00432
O94776 P40429
P55081 Q922R8
Q15904 Q16623
P28676 Q6ICL3
Q06730 P35610
P17302 Q76G19
Q7L8L6 Q96JJ3
Q92673 Q8NDW4
P49207 Q14197
P04350 P10809
Q9NYA4 P35564
Q9Y484 Q9BQB6
Q7Z7A1 P52746
P51693 P51649
Q9Y6D5 O95696
O95295 Q96SK3
Q8NEK5 P49755
P09038 Q9H2X8
Q76KP1 Q9UDT6
Q9UBB4 Q6P2C8
Q64467 Q15784
O70228 Q08209
Q8K3H7 P30043
Q12934 Q9P0U4
Q99714 Q9Y2K2
Q13023 Q99574
Q9UJC5 Q13114
Q9BWC9 Q8IZ52
Q86UL8 P51687
Q96RE9 Q52KR3
Q9UJW8 O43402
Q9DC70 P53396
Q8WWM9 P10606
P49006 Q13948
Q13555 Q8N2K1
O14639 Q14241
Q96EK5 O95070
Q13796 P42704
Q9HCM1 Q92734
P50453 Q8NFA0
O43765 Q8BVF7
P62987 Q9UJY4
P51991 P27797
Q13322 O15126
Q16623 P26367
P07996 Q63470
Q9GZT3 P99024
Q9Y3E1 O60784
P10606 Q96CN9
P29762 Q9BSJ8
Q14195 Q6PD62
Q9NVP1 Q9NRN7
P26367 Q9WV92
Q3T906 P49615
Q5JTJ3 O75110
Q9H2X8 Q8NFZ0
P61009 Q58WW2
Q76KP1 Q92947
Q8TF01 Q96LB3
Q96EU6 Q96JN2
Q6WCQ1 O60427
Q9BZJ0 Q9H6S0
O75937 O60239
Q96QB1 Q63470
Q9Y3D2 Q96CN9
O15126 P31947
Q9Y5Q8 Q9BUP0
Q9P2J8 O75251
Q8WXB4 O95716
P20336 Q9BZQ6
P61009 P62314
Q6AZW8 Q13114
A2AJT9 O15347
O75643 P68369
P08113 Q9CR62
Q9Y5Q8 P42684
Q9NVP1 Q08209
Q15014 Q15464
P06396 Q8NDW4
Q15393 Q96RY7
Q3KR37 O95831
P16519 Q6UXN9
P14854 Q8TBC5
Q15042 Q9NXW2
O96008 O43491
O43490 Q969T9
Q8BHN3 Q9Y3I0
Q64467 Q53GQ0
Q96EP0 P35610
Q9Y2P7 Q9UHQ4
O94972 Q8TAF7
Q9NR46 P03897
Q02878 Q92734
Q969J3 P14625
Q99666 P19388
P16401 Q04323
O75164 P62854
Q9WV55 P61981
Q71U36 O75431
Q9UJY4 Q9NS37
P35659 Q92609
O15235 Q9UHD9
O95848 Q14494
P38647 P54578
Q9BXC9 Q6VMQ6
Q9BRK4 P17600
Q96RT8 Q03265
P46778 Q9NYW8
Q6ZTA4 Q9H0D6
Q8TAC9 Q9H1E3
Q9BZ95 O60749
P10809 Q9VWQ2
Q9DC70 Q9NVZ3
Q5JPE7 Q12996
Q9UKK9 P51693
Q13162 Q15059
Q7KZN9 Q9QUR7
P55197 Q16851
Q92947 Q9Y2K2
Q9H583 P35221
Q99963 Q5SXM2
P01009 Q02248
Q96KQ4 P31040
Q9H583 Q15056
P18850 P37108
Q6WCQ1 O95196
P11712 P61764
Q5JPE7 Q8WUD6
P10515 Q9H2G4
P31040 Q9NYW8
P16615 Q14847
O95258 Q14995
Q9BTV4 Q05193
Q9BZK7 P09619
Q15334 O95071
P53396 Q969R5
Q9UJY4 P18583
Q13438 P40763
P16104 O43581
O15258 Q13555
P17302 Q9HCD5
O15078 A0FGR8
Q15910 P49769
O60313 Q9ERE9
Q16555 Q06335
Q9P2Q2 P07237
Q7L8L6 O75925
Q9Y6M1 P55145
Q15042 P12956
P15924 O15243
Q15651 Q14152
P28330 P62701
P09874 Q9Y6R4
Q9UJY4 O75937
Q8IZL8 Q8BHN3
Q86VV8 Q96EU6
P48449 P35237
Q9HCD5 P78371
Q07266 Q6UXN9
Q9H9A5 Q9BZQ6
O15243 P16104
Q9H2K0 Q8WYH8
P35250 Q16143
P35279 Q96R06
P61421 Q9DC70
P11021 Q6P2Q9
Q9UPW6 O75962
Q9NZN5 P57088
P33778 O60641
O15068 O43172
Q14247 Q99JH7
Q9UPR0 Q14697
Q04695 P13010
Q96MU7 Q9BQI3
Q9H254 Q6NX49
Q9JKR6 Q9QXJ1
Q62188 Q06481
Q5TCY1 P25705
O60763 O75533
Q9UID3 Q9H0A8
Q9Y657 P0C869
O14647 P61981
Q9Y483 P14868
Q96IV0 O60238
Q92598 Q96RK0
Q6KCM7 P46100
Q9UNH6 Q9BRH9
A0MZ66 P35637
O76094 P33240
Q9UBS4 Q9UKK9
Q8ND90 P61019
P35241 P46977
Q15043 Q9UHQ4
Q9UHQ4 P67809
Q8N2I2 O14879
P62745 Q62421
O95864 O75376
Q15366 O95881
P98179 P25705
O43181 Q96JP0
P05109 O94776
Q9NVK5 P17600
P07996 Q63ZY3
P83436 P53999
Q9UNP4 O00273
Q7Z3B3 O75128
Q13029 P10606
Q15637 Q9BW30
Q8N8J6 Q8IYE0
Q8TBA6 P53804
Q9UHQ4 Q9H4G0
Q8WTS6 Q8N5M9
O95070 P53041
Q9Y5A7 Q9C026
Q07864 P48553
O96008 Q9NQ66
Q9ULD5 Q9Y3P9
P21796 Q6NZ67
P09455 Q9NYP9
Q6PKC3 O88935
Q92574 Q02386
Q9Y5B6 P50502
P61956 P56559
O75251 Q96MT8
P61294 P20674
Q9UKG1 P00505
Q9HC77 Q8BVF7
P25054 P55197
O60749 O43181
Q15392 Q96JJ3
Q01484 Q9CQR7
Q9BVK2 Q9Y5A7
O14497 Q9GZQ8
Q99JH7 O00425
O75382 Q15651
Q9Y657 Q00493
P10109 O60346
Q3V6T2 Q76KP1
O43181 P22392
Q7Z3B3 A0JNW5
Q96JC1 Q9BZK7
Q13613 Q8BVF7
Q80W04 Q8TEV9
Q8N3C0 Q9Y2L9
Q8BVF7 Q9H583
P33176 P03897
Q9H6F5 O60239
Q9H9E3 Q15427
P49207 O43684
Q8N3C0 O95864
P68371 P43155
Q14197 Q9BVA1
Q14592 P48962
P28066 P22695
P35610 P45381
O95292 Q5VWX1
O75385 Q8WTR7
Q8N4C8 Q9UBS4
Q05639 Q8NEY1
Q99JH7 P45983
P13682 O96008
Q9NXR1 Q8WXI9
O35180 P10632
Q9UNP4 Q8TF20
O60238 P47756
O14979 O75431
Q12769 Q99584
Q14697 Q80W21
Q96E17 O60762
P40692 P31040
Q5W0Q7 Q155Q3
Q92947 P29067
Q9C0H6 A0FGR8
Q6P2D0 Q8WXD9
Q6ZS27 Q9UPY8
O43865 Q9H6T0
P39656 P20357
P04040 O95319
Q9DC70 Q9NZM1
Q9Y4E5 A2RRP1
O60229 Q8IZ26
P99999 Q969G3
Q15369 Q8WXI2
Q6KCM7 P12023
Q9ULP0 P04844
Q9NV70 Q15910
Q13557 Q60932
Q14669 Q12959
P08670 Q9Y3D2
Q6PJT7 O75746
P41250 Q93077
P42704 Q14847
P52272 Q01082
P62316 P51881
Q9P0J1 Q7Z3K3
P35637 Q13557
O43264 Q01538
Q6KC79 P04075
P51687 Q99816
Q00613 Q8BP92
O08539 P33908
Q9UIF3 O60293
Q15392 P0C870
Q99832 Q86WZ6
Q00325 P62333
P24369 P30048
P22695 Q86YM7
O75385 O43684
O60885 P49207
P00558 Q9BUK0
P40616 Q96SB8
P10599 P51572
Q15904 Q7TPV4
Q96SK3 Q96F05
Q15050 P30043
Q7KZF4 O96008
Q99536 Q9BRH9
P45381 P99999
Q8N3C0 Q9H6D7
P21579 Q9UGN5
P00414 Q8NHQ1
Q01082 Q3T906
Q9UID3 Q6PKC3
Q9Y5S2 O15258
Q3V6T2 Q9H2K0
P53396 Q9HCD5
A0FGR8 P00505
P56211 P15622
Q8WV44 Q9NRP0
Q9NX95 P23284
Q15904 O75822
Q9H6S0 Q8NAP3
O75179 P60468
P49321 Q9BQB6
Q8BVF7 Q8TF74
B5ME19 Q8TF20
Q12756 P83436
O14795 O75928
Q9NZL3 O75381
Q7Z460 Q9Y3E1
Q15370 Q13557
Q9BUF5 Q9UNN5
P78352 O60315
Q99698 P10515
Q92667 Q8N4G2
O60231 Q16143
Q9NR09 P39656
Q9BWH6 Q9C0B2
Q9UJU3 P17152
Q9H2F5 O15068
Q07065 P04156
P37108 Q14241
Q8BP92 Q9UQ35
Q92667 Q9UHI6
P21359 Q8WWM9
O95782 Q1KMD3
Q9UGN5 P07437
Q96E17 Q6NX49
Q8WUP2 O60293
Q96G01 O75534
P13010 O15540
O95793 Q92664
Q96QC0 Q86XZ4
Q9UQ35 Q96JP0
Q9UBI1 A2AJT9
Q8TAC9 O00237
Q9UBB6 O15243
Q9Y5K6 P55809
P17987 Q9Y468
Q8NCW6 Q92664
Q7KZN9 P14866
Q12923 A8MQT2
Q8N5M9 Q96RU3
Q4G0X9 Q9HCE3
Q9Y484 P09874
Q07864 O14672
Q9ULW6 Q9C093
Q9UNP4 Q15555
Q9BRA2 Q3TDQ1
P26599 P51881
Q15904 Q6P4R8
Q5VTR2 P62701
P35998 O14776
Q9NQC3 Q9NPC7
P14625 O75179
P21397 Q9Y2W1
Q9H0J4 Q3TDQ1
P20930 P78396
Q8N5M9 P48201
O14709 P62736
Q9Y277 Q13162
P49411 Q99676
P83436 O00767
Q9NTX5 Q9UBC2
Q9UHQ4 O75665
Q16656 P48774
O75563 O60315
O15235 Q15043
Q15005 P16989
Q9HDC5 Q96PE3
Q8WWZ7 O75663
Q96M27 Q86VP6
P62745 P53618
O75937 P62854
Q8IUR0 P06753
O95219 Q9UKK9
Q13948 Q9BU02
Q99687 P99024
Q9BVC6 O14639
O75143 O88935
Q8N8D1 Q99996
Q8IVF4 Q6KC79
Q9NZZ3 O43172
P04844 P21359
Q8N9B5 P43155
Q99832 P14625
O70228 O75643
