O95400 Q9Y4W6
Q5JTZ9 Q9NYU2
P08754 Q6KAS7
Q8NFW8 P21399
Q9NXE4 P49589
Q9Y5B9 Q15031
Q9NTJ5 P39748
P43024 O76071
P36957 Q9UI14
Q9Y277 O00291
O60476 P12882
Q8IYB3 P11137
O43143 P48047
O35526 Q8NEW0
P98161 Q09028
Q9NRW7 P13473
Q9DCX2 P62318
P06454 Q9BY32
Q9UL68 Q9UN19
Q8WWC4 P84077
P82663 Q92922
P07814 P30533
O43156 Q00403
Q8BFZ3 Q9Y2C2
Q06055 P97434
P04179 Q13618
Q5H9L4 Q5HYI7
P54819 Q9UKN8
P61353 Q5SRE5
Q86V25 Q9CXZ1
Q86YZ3 P31930
O15083 O95573
Q13153 Q7Z6M4
Q53R41 O14966
Q15392 Q61062
Q9NRP0 Q91YT0
Q13029 P49458
O35526 Q13467
Q9QXU9 Q9Y2I1
P34932 Q9Y2X3
Q8NBS9 O43396
P14625 Q13257
Q969E4 Q9UPY3
Q9BVI4 Q9QYR6
P62318 Q92665
P55795 Q3KQU3
P47985 P47757
P18085 Q9CQ75
Q9Y6G9 P30275
P11940 Q9DC70
Q91VD9 Q02750
Q8ND71 P35250
Q9H0A0 Q9P035
Q91YQ1 Q96L91
Q05519 O14949
Q9UK61 Q9H0U4
O00214 Q13951
P61163 Q9QXX4
Q9BY11 P84243
Q00688 P30084
P43243 P62820
Q86WJ1 O94905
O94905 P62826
Q9BYT3 O00541
Q562E7 Q9NXE4
Q96NC0 Q96GD0
P35232 Q9Y3P9
Q8N122 P30275
Q8IUD2 Q7Z2W9
O60341 Q8N2K1
P68510 O60238
Q8NFT6 Q9UKX2
Q9WV60 Q9HD33
Q3B8Q0 O95573
P19404 Q9Y678
Q9UKM9 Q8TC07
Q9H2Y7 P85845
Q9HC44 Q14204
P35251 P55884
Q9UER7 Q9BW92
P67778 Q04323
O75525 O14654
O35179 Q60930
Q9Y5P4 Q791V5
P62820 Q9HCK8
P35279 P29353
P82675 Q8NFT6
P48729 P53007
P61294 Q03164
Q16850 P28290
Q8IXI2 Q9NQW7
P00533 Q9CQV8
Q86XR8 Q9D6M3
Q9BSF4 O94832
Q96T88 Q15691
P02545 P07437
O43143 Q8CJF9
Q9NVJ2 Q8IYH5
P19536 O43516
P62737 A8MXV4
Q5SRE5 P14174
Q9UKN8 P49588
Q01081 P49821
P38117 Q3V6T2
P41161 Q9P209
Q9BYN8 P05412
P10242 O00217
Q9UPY8 Q08945
Q13509 P08574
Q15233 P30622
Q96TA1 Q07864
Q9NP97 Q04837
Q01844 Q13724
O94905 P35659
P46459 Q13185
P04843 P48047
P49406 B2RUR8
P49406 Q15427
Q92804 Q8N983
P82933 P05455
Q9UK59 P38650
P68373 Q9H936
Q9CPP6 P14866
P43246 Q12756
Q8N1F7 O95352
Q14919 P00414
P23368 P60953
Q9UIF8 Q562R1
Q96T23 Q16543
O95573 Q9C0B0
O75807 Q99608
Q14152 O60476
O75376 Q6A0A9
Q9Y2C2 P02687
Q9EPU0 Q9NRX5
Q6A0A9 Q96PT4
Q5JTV8 Q9Y291
Q8IYW5 Q9DB77
Q15392 Q7RTP6
O88935 O95789
P07199 Q15042
P62917 Q14257
P51965 P13995
Q9R0Q7 Q9UKY1
P50851 Q99848
P49721 O75251
Q6P2Q9 Q91VR2
Q9UHQ7 Q7Z6M4
Q15424 P42574
Q99442 P53621
P47985 Q9Y3F4
Q9Y2T2 P06454
Q96JJ3 P60468
Q5JTZ9 Q9Y6X8
O00214 P29692
P53007 Q86Y56
Q15181 P22033
P20248 P29122
P55786 P04925
Q9HC35 O15260
P53992 P38159
O75396 Q9H444
Q8NBU5 Q6PUV4
O14966 Q9Y5M8
Q9NRX5 Q9UIL1
P60763 Q9H0S4
Q9UQD0 Q6P1L8
O95140 P17480
Q13724 P60710
P04040 P50502
P68511 Q9P2X0
O60524 Q9BRA2
Q9UK59 Q12840
P50851 P19367
P04181 Q5T200
Q9DC70 P18440
Q9H2G2 P83436
Q9UKA1 Q9NTJ5
Q15042 P12235
P12081 P14625
Q8NBS9 Q8IX01
O14646 P13995
Q9BSH4 Q96A33
Q9NRP0 P49589
P05213 P12787
Q9UKX7 Q9BSF4
P38650 Q9P0L0
Q9Y3D8 P21107
Q8K2H1 Q8NI22
O95218 P19404
Q96EY7 O75663
Q9Y678 Q15386
Q15532 Q92519
Q91YQ1 Q9WV55
Q9QYA2 P15337
Q5XIM9 Q5SRD1
P61764 Q9H488
O14979 Q8NBJ5
P50851 O00273
Q7KZ85 Q9BY32
P31324 Q13467
Q5VT06 Q96A33
P51398 Q9NV56
P61586 Q9D855
O95070 Q9C0C9
Q9BXJ9 P53007
Q9NYV4 Q5SYD0
O00217 Q8NFW8
Q9HC44 P62880
P68369 Q6FI13
P12369 O00411
Q9UKU7 P10155
P50213 P43034
P17600 P42858
P63260 Q9UM00
P30040 Q9H334
P35637 Q8WWM9
P27816 Q9NXE4
O14776 P07237
P62259 A8MXV4
Q9NYV4 Q6ZVX7
P61158 A8MXV4
O00411 Q9NVM9
Q6UX04 Q5T5P2
Q9HAT1 O00411
Q99497 Q9BSJ8
Q8IYW5 Q9NP97
Q9NQW7 O75964
P51649 O15143
Q9BTT0 P49448
Q15185 P19388
P52736 O00203
P03921 Q9BVI4
Q16576 P31150
P00918 Q9DC69
Q9D6M3 P13010
P11137 Q9NZ42
P30084 P52736
P35659 O43819
Q13427 P11177
Q9UKV3 P61803
Q4QRB4 Q8NI60
Q9Y2Z4 P17302
O75489 Q99961
O94826 Q8WYP5
O95835 Q99442
Q15386 Q13724
P09669 P49756
Q969H8 Q7L014
Q05048 P0DPB3
Q13428 Q5JTZ9
P23242 P25398
P16104 O95405
Q62277 Q96G23
Q9NZ01 P09132
P07741 P30040
O75376 Q9BUF5
O60716 Q9QYA2
P55258 Q9NSE4
Q7YU24 Q86Y56
Q58WW2 Q5JPH6
Q08211 P30837
Q9Y3C6 O75794
P24390 Q12874
Q9Y2C2 Q9UI09
P52209 O94985
O60229 Q91YT0
P63039 Q13185
Q791V5 Q61214
Q6IPX3 Q7L2H7
P62875 Q71U36
Q9QYR6 P12787
P23497 Q9UG56
P29374 Q9D023
P63104 Q8N1G2
Q9NRP0 P02533
O75342 Q96L91
Q9DCX2 P25786
O60610 Q9HD20
Q7Z4V5 P49448
Q8K310 Q9UKU7
Q9NZ01 Q80TJ1
Q9BZE1 P49407
O14617 Q5JTH9
P20340 P35249
O75970 P23242
P62269 P42126
P14618 Q6P1L8
P04925 O43707
P12956 P17987
Q14790 P02545
P46778 P28331
Q15031 Q5BJF2
O75390 Q13330
P61586 P43274
Q8WV92 Q9CQQ7
P23242 O96008
Q9D023 P62330
O15160 P50502
P55060 P23368
P38647 Q96EK5
Q9BSF8 P04843
Q9NP97 O14949
Q92574 Q8WX92
Q9D8B4 Q92575
Q6NVY1 P29122
Q9BT88 Q99697
Q13724 P00918
Q9BQA9 O14949
P14735 O14874
P42574 Q00688
Q13823 P61014
P51571 P0CAP2
Q86Y82 Q16670
P61086 Q9Y277
Q9UBD5 O00178
Q9UPQ9 Q9BWJ5
P06730 Q03701
Q969H8 O94763
Q8R418 P23242
Q8IYB5 Q6IPX3
Q9UKT5 P03888
Q63HQ0 Q16740
Q8NI60 Q9NP64
Q6P4A7 P14324
Q9QY76 Q5T653
Q96ED9 Q8N1F7
P30101 Q9UI14
P09936 Q96JM7
Q68E01 Q16822
D3Z2R5 Q5XKP0
O35095 O60238
P22695 Q8N122
Q96TA1 Q9H488
Q96MG8 P29692
Q8VBT0 Q15149
Q9Y230 Q9ULC5
P46977 O60869
O14647 Q9CPQ3
P52272 Q96P63
Q99551 P58771
Q9UNE7 Q9BYC9
P32322 P08579
Q08116 Q8WX92
Q8WW12 O00214
Q91WD5 Q99755
Q14103 P03893
Q811U4 Q8VHJ5
Q9CR61 P10637
P85845 Q6IPX3
P26368 Q8TCT9
Q8N122 Q9Y277
P62917 O95218
Q8CHZ9 P14866
Q99471 Q02978
O96008 Q14103
Q9NT62 P15999
Q9HCC0 O95819
P54819 O14646
Q8NI60 Q9BZZ5
Q9BSF4 P15146
Q9Y3D3 Q13148
O95835 Q9Y3D6
Q00981 O75533
Q969N2 Q3KRE8
O43491 P30040
Q562E7 P51531
P05423 Q8WVN8
P30040 P78368
Q06587 P13797
Q6PK81 P07195
P62328 Q9QY76
O95295 O75525
Q9NRW7 O60315
Q7YU24 Q9UBB4
P07737 P82933
O15083 Q14241
P84091 Q9Y3C6
Q05048 Q9Y6C9
Q9JKK7 Q99797
Q16576 Q6P4A7
P82650 P49773
P56556 Q9UI26
P68368 Q09666
P31930 Q96F07
Q13427 P08237
Q05512 O75477
P15311 Q5JPH6
O95789 P53618
O95789 Q14204
Q9H9G7 Q63HQ0
Q9EP89 Q9NZN8
Q8N1F7 P19332
P60763 Q13029
Q9H501 P19404
Q8IUQ0 Q5JPH6
P30520 Q9Y2W1
O00483 O75934
Q9CZ13 P40925
Q9P035 P50502
Q15185 O75400
P08865 O14874
Q9DCX2 Q8WXX5
P25786 Q8WWC4
Q9H845 Q9R0Q7
P12956 Q7L576
Q6IPX3 P12081
Q9H1E3 Q9Y305
Q8N3C0 Q96L92
Q9BU23 Q9Y5X2
P27546 O43819
P16546 Q8WWY3
Q969S9 P68366
Q9JKK7 P52655
P12532 P49321
P61204 O14949
Q7L576 Q8BH59
O15260 P50570
P29067 Q91WD5
Q8K3J1 Q8NBS9
Q14315 P38159
Q99551 O43290
Q86UP2 Q86XE5
Q9BRA2 Q16594
P11177 Q13243
Q9Y5Q9 Q9UG56
Q9NUJ1 Q9Y6X8
Q14320 P46781
Q8WYQ5 Q9BUK6
P18085 A5YKK6
P54727 Q7L592
P14211 Q9Y2W1
